"2023-04-07T11:32:47.064Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:47.138Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:47.273Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:47.304Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:47.396Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:47.406Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:47.477Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:47.579Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:47.661Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:47.783Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:47.844Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:47.936Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:48.017Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:48.119Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:48.201Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:48.293Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:48.396Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:48.417Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:48.500Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:48.561Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:48.663Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:48.795Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:48.836Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:48.918Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:49.020Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:49.101Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:49.224Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:49.286Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:49.378Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:49.399Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:49.461Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:49.574Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:49.688Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:49.801Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:49.832Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:49.924Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:50.006Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:50.098Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:50.179Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:50.281Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:50.363Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:50.393Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:50.454Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:50.546Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:50.639Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:50.720Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:50.886Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:50.958Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:51.010Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:51.122Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:51.214Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:51.265Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:51.357Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:51.398Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:51.439Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:51.541Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:51.622Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:51.724Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:51.816Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:51.929Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:51.981Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:52.115Z","EVSE","V2G CurrentDemandRes",""
