"2023-04-04T10:05:30.103Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:30.186Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:30.268Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:30.371Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:30.535Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:30.587Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:30.722Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:30.857Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:30.971Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:31.022Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:31.094Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:31.146Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:31.249Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:31.372Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:31.508Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:31.590Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:31.683Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:31.806Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:31.909Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:32.033Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:32.136Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:32.158Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:32.251Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:32.355Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:32.478Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:32.571Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:32.705Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:32.819Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:32.912Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:33.014Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:33.096Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:33.138Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:33.230Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:33.354Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:33.447Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:33.570Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:33.706Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:33.818Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:33.880Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:34.014Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:34.096Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:34.128Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:34.252Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:34.324Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:34.447Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:34.550Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:34.673Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:34.766Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:34.900Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:35.025Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:35.108Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:35.118Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:35.242Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:35.336Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:35.470Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:35.553Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:35.645Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:35.769Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:35.871Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:35.995Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:36.087Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:36.108Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:36.211Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:36.324Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:36.448Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:36.562Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:36.656Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:36.791Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:36.863Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:36.966Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:37.090Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:37.111Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:37.183Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:37.307Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:37.410Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:37.523Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:37.626Z","EVSE","V2G CurrentDemandRes",""
